,Unnamed: 0,Unnamed: 0.1,Residencia,DISTRITO,CP,Comunidad,Calle,Telefono,Telefono Alternativo,Tipo,Oficina,Estado,latitudes,longitudes
0,0,0,Acogida HORTALEZA ,Hortaleza,28043,Madrid,"C. de Valdetorres de Jarama, 1",917642900,917642943,Primera Acogida,,,40.4728382,-3.6476904
1,1,1,Acogida Isabel Clara Eugenia,Hortaleza,28033,Madrid,"C. del Mar Caspio, 8",917633222,917633240,Primera Acogida,,,40.4730365,-3.6445424
2,2,2,Acogida casa de campo. Fundación Antonio Moreno,LATINA,28011,Madrid,"Camino del Robledal, 2",914700553,,Primera Acogida,,,40.415284,-3.7491851
3,3,3,Casa de los niños,"Fuencarral-El Pardo, Madrid",28049,Madrid,"Carr. Vía de Servicio, Km.12,800",917343082,917348780,Primera Infancia,,,40.5429909,-3.7031795
4,4,4,Residencia Menores Rosa,Chamartin,28036,Madrid,"P.º de la Habana, 173",913455173,913507392,Primera Infancia,,,40.4659413,-3.6794779
5,5,5,Residencia Para Menores El Valle,Salamanca,28003,Madrid,"C. Pinilla del Valle, 22",915535614,915353399,Primera Infancia,,,40.4407132,-3.675921299999999
6,6,6,Residencia Para Menores Las Acacias,Carabanchel,28025,Madrid,"Calle Gral. Ricardos, 177",914628426,,Residencias Infantiles ,,,40.3829505,-3.7348214
7,7,7,Residencia Infantil Alcalá de Henares,Alcalá de Henares,28804,Madrid,Calle Fernando de Flandes 16-18,918837321,,Residencias Infantiles ,,,40.490647,-3.3484847
8,8,8,Alcorcón,Alcorcón,28925,Madrid,Avenida Las Flores 70-72,916118051,,Residencias Infantiles ,,,40.3567299,-3.8056339
9,9,9,Aranjuez,Aranjuez,28300,Madrid,"Calle de la Alondra, 17",918915881,,Residencias Infantiles ,,,40.0262037,-3.6140938
10,10,10,Arce Rojo ,Fuenlabrada,28940,Madrid,Calle Navarra 23-25,916971158,,Residencias Infantiles ,,,40.453577,-3.7047695
11,11,11,Arganda,Arganda,28500,Madrid,Avenida Del Instituto 30,918757980,,Residencias Infantiles ,,,40.2903102,-3.4424596
12,12,12,Residencia Infantil Azaleas,Colmenar Viejo,28770,Madrid,Calle Prado de las Azaleas 3,918467100,,Residencias Infantiles ,,,40.6674526,-3.7655124
13,13,13,Chamberí,Chamberí,28015,Madrid,Calle Fernandez de los Rios 37,914464201,,Residencias Infantiles ,,,40.4349869,-3.7092035
14,14,14,Encinar,Hortaleza,28043,Madrid,Calle Estrecho de Mesina 1,917595477,,Residencias Infantiles ,,,40.452459,-3.6520661
15,15,15,Fernandez De los Ríos,Chamberí,28015,Madrid,"Calle de Fernández de los Ríos, 2",914454483,,Residencias Infantiles ,,,40.4350543,-3.7047142
16,16,16,Isabel de Castilla,Villa de Vallecas,28031,Madrid,Calle Sierra de Palomeras 12,913030016,,Residencias Infantiles ,,,40.377128,-3.6243331
17,17,17,Las rosas,San Blas,28032,Madrid,Avenida Guadalajara 69,917609230,,Residencias Infantiles ,,,40.4211286,-3.6169124
18,18,18,Residencia Infantil Leganes,Leganes,28914,Madrid,Calle Maestro 21,916883641,,Residencias Infantiles ,,,40.3182536,-3.7943157
19,19,19,Móstoles,Mostoles,28935,Madrid,Camino De las Carrasquillas,916147332,,Residencias Infantiles ,,,40.3178506,-3.8842256
